event_id,event_date,anchor_date,event_type,event_group,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis,window_label,expected_count,row_count,min_relative_day,max_relative_day,anchor_shift_calendar_days,has_anchor,coverage_status,is_complete
E33,2022-12-21,,regulatory_action,relief,US extends exclusions,pandemic,False,True,False,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E33,2022-12-21,,regulatory_action,relief,US extends exclusions,pandemic,False,True,False,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E34,2023-01-01,,regulatory_action,structural,China reduces tariffs on consumer goods,pandemic,False,True,False,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E34,2023-01-01,,regulatory_action,structural,China reduces tariffs on consumer goods,pandemic,False,True,False,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E34,2023-01-01,,regulatory_action,structural,China reduces tariffs on consumer goods,pandemic,False,True,False,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E35,2023-02-07,,regulatory_action,relief,US tariffs on washing machines expire,pandemic,False,True,False,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E35,2023-02-07,,regulatory_action,relief,US tariffs on washing machines expire,pandemic,False,True,False,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E35,2023-02-07,,regulatory_action,relief,US tariffs on washing machines expire,pandemic,False,True,False,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E36,2023-09-22,,diplomatic_engagement,structural,US China economic groups formed,pandemic,False,True,False,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E36,2023-09-22,,diplomatic_engagement,structural,US China economic groups formed,pandemic,False,True,False,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E36,2023-09-22,,diplomatic_engagement,structural,US China economic groups formed,pandemic,False,True,False,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E37,2024-04-17,,tariff_announcement,escalation,US proposes higher tariffs on metals,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E37,2024-04-17,,tariff_announcement,escalation,US proposes higher tariffs on metals,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E37,2024-04-17,,tariff_announcement,escalation,US proposes higher tariffs on metals,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E38,2024-05-14,,tariff_announcement,escalation,US proposes tariffs on EVs and semiconductors,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E38,2024-05-14,,tariff_announcement,escalation,US proposes tariffs on EVs and semiconductors,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E38,2024-05-14,,tariff_announcement,escalation,US proposes tariffs on EVs and semiconductors,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E39,2024-05-30,,exclusion_extension,relief,US extends tariff exclusions,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E39,2024-05-30,,exclusion_extension,relief,US extends tariff exclusions,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E39,2024-05-30,,exclusion_extension,relief,US extends tariff exclusions,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E40,2024-09-13,,regulatory_action,escalation,US finalizes tariff increases,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E40,2024-09-13,,regulatory_action,escalation,US finalizes tariff increases,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E40,2024-09-13,,regulatory_action,escalation,US finalizes tariff increases,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E41,2024-09-14,,retaliation_warning,retaliation,China signals retaliation,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E41,2024-09-14,,retaliation_warning,retaliation,China signals retaliation,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E41,2024-09-14,,retaliation_warning,retaliation,China signals retaliation,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E42,2024-09-24,,regulatory_action,escalation,US proposes further tariff adjustments,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E42,2024-09-24,,regulatory_action,escalation,US proposes further tariff adjustments,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E42,2024-09-24,,regulatory_action,escalation,US proposes further tariff adjustments,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E43,2024-09-27,,tariff_implementation,escalation,New tariffs implemented,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E43,2024-09-27,,tariff_implementation,escalation,New tariffs implemented,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E43,2024-09-27,,tariff_implementation,escalation,New tariffs implemented,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E44,2024-11-22,,retaliation_warning,escalation,China protests US actions,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E44,2024-11-22,,retaliation_warning,escalation,China protests US actions,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E44,2024-11-22,,retaliation_warning,escalation,China protests US actions,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E45,2025-01-01,,tariff_increase,escalation,US increases semiconductor tariffs,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E45,2025-01-01,,tariff_increase,escalation,US increases semiconductor tariffs,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E45,2025-01-01,,tariff_increase,escalation,US increases semiconductor tariffs,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E46,2025-01-20,,political_transition,structural,New administration shifts trade stance,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E46,2025-01-20,,political_transition,structural,New administration shifts trade stance,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E46,2025-01-20,,political_transition,structural,New administration shifts trade stance,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E47,2025-02-04,,tariff_implementation,escalation,US imposes broad tariffs,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E47,2025-02-04,,tariff_implementation,escalation,US imposes broad tariffs,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E47,2025-02-04,,tariff_implementation,escalation,US imposes broad tariffs,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E48,2025-02-10,,retaliation,retaliation,China retaliates,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E48,2025-02-10,,retaliation,retaliation,China retaliates,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E48,2025-02-10,,retaliation,retaliation,China retaliates,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E49,2025-03-04,,tariff_implementation,escalation,US increases tariffs again,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E49,2025-03-04,,tariff_implementation,escalation,US increases tariffs again,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E49,2025-03-04,,tariff_implementation,escalation,US increases tariffs again,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E50,2025-03-10,,retaliation,retaliation,China responds again,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E50,2025-03-10,,retaliation,retaliation,China responds again,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E50,2025-03-10,,retaliation,retaliation,China responds again,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E51,2025-04-10,,tariff_increase,escalation,Tariffs reach peak levels,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E51,2025-04-10,,tariff_increase,escalation,Tariffs reach peak levels,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E51,2025-04-10,,tariff_increase,escalation,Tariffs reach peak levels,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E52,2025-05-14,,agreement,relief,Tariff reduction agreement,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E52,2025-05-14,,agreement,relief,Tariff reduction agreement,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E52,2025-05-14,,agreement,relief,Tariff reduction agreement,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E53,2025-05-31,,exclusion_extension,relief,US extends exclusions,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E53,2025-05-31,,exclusion_extension,relief,US extends exclusions,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E53,2025-05-31,,exclusion_extension,relief,US extends exclusions,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E54,2025-08-12,,agreement,relief,Temporary trade truce,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E54,2025-08-12,,agreement,relief,Temporary trade truce,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E54,2025-08-12,,agreement,relief,Temporary trade truce,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E55,2025-09-01,,regulatory_action,retaliation,China imposes duties,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E55,2025-09-01,,regulatory_action,retaliation,China imposes duties,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E55,2025-09-01,,regulatory_action,retaliation,China imposes duties,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E56,2025-10-30,,diplomatic_engagement,relief,Leaders agree to adjust measures,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E56,2025-10-30,,diplomatic_engagement,relief,Leaders agree to adjust measures,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E56,2025-10-30,,diplomatic_engagement,relief,Leaders agree to adjust measures,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E57,2025-11-05,,tariff_reduction,relief,China removes tariffs,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E57,2025-11-05,,tariff_reduction,relief,China removes tariffs,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E57,2025-11-05,,tariff_reduction,relief,China removes tariffs,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E58,2025-11-07,,export_control_suspension,relief,China suspends export controls,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E58,2025-11-07,,export_control_suspension,relief,China suspends export controls,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E58,2025-11-07,,export_control_suspension,relief,China suspends export controls,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E59,2025-11-09,,export_control_suspension,relief,China suspends restrictions,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E59,2025-11-09,,export_control_suspension,relief,China suspends restrictions,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E59,2025-11-09,,export_control_suspension,relief,China suspends restrictions,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E60,2025-11-10,,agreement,relief,Mutual tariff reduction agreement,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E60,2025-11-10,,agreement,relief,Mutual tariff reduction agreement,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E60,2025-11-10,,agreement,relief,Mutual tariff reduction agreement,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E61,2026-01-01,,tariff_increase,escalation,US increases tariffs on strategic goods,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E61,2026-01-01,,tariff_increase,escalation,US increases tariffs on strategic goods,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E61,2026-01-01,,tariff_increase,escalation,US increases tariffs on strategic goods,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E62,2026-02-24,,regulatory_action,structural,New tariff framework begins,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E62,2026-02-24,,regulatory_action,structural,New tariff framework begins,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E62,2026-02-24,,regulatory_action,structural,New tariff framework begins,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E63,2026-03-01,,legal_action,structural,China updates trade law,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E63,2026-03-01,,legal_action,structural,China updates trade law,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E63,2026-03-01,,legal_action,structural,China updates trade law,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E64,2026-03-03,,analytical_publication,structural,Research highlights trade decoupling,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E64,2026-03-03,,analytical_publication,structural,Research highlights trade decoupling,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E64,2026-03-03,,analytical_publication,structural,Research highlights trade decoupling,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E65,2026-03-16,,diplomatic_engagement,retaliation,China urges tariff removal,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E65,2026-03-16,,diplomatic_engagement,retaliation,China urges tariff removal,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E65,2026-03-16,,diplomatic_engagement,retaliation,China urges tariff removal,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E66,2026-03-27,,investigation,retaliation,China launches investigations,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E66,2026-03-27,,investigation,retaliation,China launches investigations,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E66,2026-03-27,,investigation,retaliation,China launches investigations,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
E67,2026-04-08,,analytical_publication,structural,Data on export controls released,post,False,False,True,False,m1_p1,3,0,,,,False,outside_market_coverage,False
E67,2026-04-08,,analytical_publication,structural,Data on export controls released,post,False,False,True,False,m3_p3,7,0,,,,False,outside_market_coverage,False
E67,2026-04-08,,analytical_publication,structural,Data on export controls released,post,False,False,True,False,m5_p5,11,0,,,,False,outside_market_coverage,False
