event_id,event_date,anchor_date,window_label,event_group,event_type,event_regime,description,target_negative_impact,target_three_class,feature_window_label,feature_event_group,feature_event_type,feature_event_regime,feature_volatility_sp500,feature_n_obs,feature_estimation_n_obs,feature_estimation_sufficient_data,feature_anchor_shift_calendar_days,feature_window_size,feature_event_year,feature_event_month,feature_is_core_sample,feature_is_pandemic_period,feature_is_post_pandemic,feature_include_in_primary_analysis,abnormal_return_rows
E01,2018-03-22,2018-03-22,m1_p1,escalation,tariff_announcement,core,US announces Section 301 tariff action on Chinese imports,1,negative,m1_p1,escalation,tariff_announcement,core,0.0124302216560435,3,25,1,0.0,1,2018,3,1,0,0,1,3
E01,2018-03-22,2018-03-22,m3_p3,escalation,tariff_announcement,core,US announces Section 301 tariff action on Chinese imports,1,negative,m3_p3,escalation,tariff_announcement,core,0.018014994231584,7,25,1,0.0,3,2018,3,1,0,0,1,7
E01,2018-03-22,2018-03-22,m5_p5,escalation,tariff_announcement,core,US announces Section 301 tariff action on Chinese imports,1,negative,m5_p5,escalation,tariff_announcement,core,0.0154246163369427,11,25,1,0.0,5,2018,3,1,0,0,1,11
E02,2018-04-06,2018-04-06,m1_p1,escalation,tariff_announcement,core,USTR publishes proposed tariff list targeting Chinese imports,1,negative,m1_p1,escalation,tariff_announcement,core,0.0156993008667781,3,25,1,0.0,1,2018,4,1,0,0,1,3
E02,2018-04-06,2018-04-06,m3_p3,escalation,tariff_announcement,core,USTR publishes proposed tariff list targeting Chinese imports,0,positive,m3_p3,escalation,tariff_announcement,core,0.0133040266693169,7,25,1,0.0,3,2018,4,1,0,0,1,7
E02,2018-04-06,2018-04-06,m5_p5,escalation,tariff_announcement,core,USTR publishes proposed tariff list targeting Chinese imports,0,positive,m5_p5,escalation,tariff_announcement,core,0.0136707380536918,11,25,1,0.0,5,2018,4,1,0,0,1,11
E03,2018-06-15,2018-06-15,m1_p1,escalation,tariff_announcement,core,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,1,negative,m1_p1,escalation,tariff_announcement,core,0.0023992801541483,3,25,1,0.0,1,2018,6,1,0,0,1,3
E03,2018-06-15,2018-06-15,m3_p3,escalation,tariff_announcement,core,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,1,negative,m3_p3,escalation,tariff_announcement,core,0.0027710037081845,7,25,1,0.0,3,2018,6,1,0,0,1,7
E03,2018-06-15,2018-06-15,m5_p5,escalation,tariff_announcement,core,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,1,negative,m5_p5,escalation,tariff_announcement,core,0.0031917490956336,11,25,1,0.0,5,2018,6,1,0,0,1,11
E04,2018-07-06,2018-07-06,m1_p1,escalation,tariff_implementation,core,First tranche of bilateral tariffs enters into force,0,positive,m1_p1,escalation,tariff_implementation,core,0.0001718070042096,3,25,1,0.0,1,2018,7,1,0,0,1,3
E04,2018-07-06,2018-07-06,m3_p3,escalation,tariff_implementation,core,First tranche of bilateral tariffs enters into force,0,positive,m3_p3,escalation,tariff_implementation,core,0.0065926687269339,7,25,1,0.0,3,2018,7,1,0,0,1,7
E04,2018-07-06,2018-07-06,m5_p5,escalation,tariff_implementation,core,First tranche of bilateral tariffs enters into force,0,positive,m5_p5,escalation,tariff_implementation,core,0.0055776384617987,11,25,1,0.0,5,2018,7,1,0,0,1,11
E05,2018-07-11,2018-07-11,m1_p1,escalation,tariff_announcement,core,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,0,neutral,m1_p1,escalation,tariff_announcement,core,0.0080675653031933,3,25,1,0.0,1,2018,7,1,0,0,1,3
E05,2018-07-11,2018-07-11,m3_p3,escalation,tariff_announcement,core,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,0,positive,m3_p3,escalation,tariff_announcement,core,0.0060376711521581,7,25,1,0.0,3,2018,7,1,0,0,1,7
E05,2018-07-11,2018-07-11,m5_p5,escalation,tariff_announcement,core,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,0,positive,m5_p5,escalation,tariff_announcement,core,0.0056160144904463,11,25,1,0.0,5,2018,7,1,0,0,1,11
E06,2018-08-23,2018-08-23,m1_p1,escalation,tariff_implementation,core,Second tranche of bilateral tariffs enters into force,0,neutral,m1_p1,escalation,tariff_implementation,core,0.004231747822352,3,25,1,0.0,1,2018,8,1,0,0,1,3
E06,2018-08-23,2018-08-23,m3_p3,escalation,tariff_implementation,core,Second tranche of bilateral tariffs enters into force,0,positive,m3_p3,escalation,tariff_implementation,core,0.0034500692019479,7,25,1,0.0,3,2018,8,1,0,0,1,7
E06,2018-08-23,2018-08-23,m5_p5,escalation,tariff_implementation,core,Second tranche of bilateral tariffs enters into force,0,positive,m5_p5,escalation,tariff_implementation,core,0.0039956611994586,11,25,1,0.0,5,2018,8,1,0,0,1,11
E07,2018-09-24,2018-09-24,m1_p1,escalation,tariff_implementation,core,US implements tariffs on 200 billion dollars of Chinese imports,1,negative,m1_p1,escalation,tariff_implementation,core,0.0016159851941799,3,25,1,0.0,1,2018,9,1,0,0,1,3
E07,2018-09-24,2018-09-24,m3_p3,escalation,tariff_implementation,core,US implements tariffs on 200 billion dollars of Chinese imports,1,neutral,m3_p3,escalation,tariff_implementation,core,0.0039595700339047,7,25,1,0.0,3,2018,9,1,0,0,1,7
E07,2018-09-24,2018-09-24,m5_p5,escalation,tariff_implementation,core,US implements tariffs on 200 billion dollars of Chinese imports,1,neutral,m5_p5,escalation,tariff_implementation,core,0.0040569330864082,11,25,1,0.0,5,2018,9,1,0,0,1,11
E08,2018-12-19,2018-12-19,m1_p1,relief,suspension,core,US postpones scheduled increase of tariffs,1,negative,m1_p1,relief,suspension,core,0.0090492154446789,3,25,1,0.0,1,2018,12,1,0,0,1,3
E08,2018-12-19,2018-12-19,m3_p3,relief,suspension,core,US postpones scheduled increase of tariffs,1,negative,m3_p3,relief,suspension,core,0.0084630060153778,7,25,1,0.0,3,2018,12,1,0,0,1,7
E08,2018-12-19,2018-12-19,m5_p5,relief,suspension,core,US postpones scheduled increase of tariffs,1,negative,m5_p5,relief,suspension,core,0.021737494590659,11,25,1,0.0,5,2018,12,1,0,0,1,11
E09,2019-03-05,2019-03-05,m1_p1,relief,suspension,core,US extends suspension of tariff increase,1,negative,m1_p1,relief,suspension,core,0.0026964548624204,3,25,1,0.0,1,2019,3,1,0,0,1,3
E09,2019-03-05,2019-03-05,m3_p3,relief,suspension,core,US extends suspension of tariff increase,1,negative,m3_p3,relief,suspension,core,0.0048326530984763,7,25,1,0.0,3,2019,3,1,0,0,1,7
E09,2019-03-05,2019-03-05,m5_p5,relief,suspension,core,US extends suspension of tariff increase,1,negative,m5_p5,relief,suspension,core,0.00639961519126,11,25,1,0.0,5,2019,3,1,0,0,1,11
E10,2019-05-10,2019-05-10,m1_p1,escalation,tariff_increase,core,US raises tariffs from 10 percent to 25 percent,1,negative,m1_p1,escalation,tariff_increase,core,0.014529948250336,3,25,1,0.0,1,2019,5,1,0,0,1,3
E10,2019-05-10,2019-05-10,m3_p3,escalation,tariff_increase,core,US raises tariffs from 10 percent to 25 percent,1,negative,m3_p3,escalation,tariff_increase,core,0.0120364052215643,7,25,1,0.0,3,2019,5,1,0,0,1,7
E10,2019-05-10,2019-05-10,m5_p5,escalation,tariff_increase,core,US raises tariffs from 10 percent to 25 percent,1,negative,m5_p5,escalation,tariff_increase,core,0.0108187072065603,11,25,1,0.0,5,2019,5,1,0,0,1,11
E11,2019-08-20,2019-08-20,m1_p1,escalation,tariff_announcement,core,USTR formalizes new tariffs on Chinese imports,0,positive,m1_p1,escalation,tariff_announcement,core,0.010621609059988,3,25,1,0.0,1,2019,8,1,0,0,1,3
E11,2019-08-20,2019-08-20,m3_p3,escalation,tariff_announcement,core,USTR formalizes new tariffs on Chinese imports,0,positive,m3_p3,escalation,tariff_announcement,core,0.0139264569213911,7,25,1,0.0,3,2019,8,1,0,0,1,7
E11,2019-08-20,2019-08-20,m5_p5,escalation,tariff_announcement,core,USTR formalizes new tariffs on Chinese imports,0,positive,m5_p5,escalation,tariff_announcement,core,0.0154326325849175,11,25,1,0.0,5,2019,8,1,0,0,1,11
E12,2019-08-30,2019-08-30,m1_p1,escalation,tariff_increase,core,US raises planned tariff rate,0,positive,m1_p1,escalation,tariff_increase,core,0.0098790765764222,3,25,1,0.0,1,2019,8,1,0,0,1,3
E12,2019-08-30,2019-08-30,m3_p3,escalation,tariff_increase,core,US raises planned tariff rate,0,positive,m3_p3,escalation,tariff_increase,core,0.0080349861478014,7,25,1,0.0,3,2019,8,1,0,0,1,7
E12,2019-08-30,2019-08-30,m5_p5,escalation,tariff_increase,core,US raises planned tariff rate,0,positive,m5_p5,escalation,tariff_increase,core,0.0114414705965807,11,25,1,0.0,5,2019,8,1,0,0,1,11
E13,2019-09-01,2019-09-03,m1_p1,escalation,tariff_implementation,core,New tariffs enter into force,0,positive,m1_p1,escalation,tariff_implementation,core,0.0089036985329053,3,25,1,2.0,1,2019,9,1,0,0,1,3
E13,2019-09-01,2019-09-03,m3_p3,escalation,tariff_implementation,core,New tariffs enter into force,0,positive,m3_p3,escalation,tariff_implementation,core,0.0074832626181818,7,25,1,2.0,3,2019,9,1,0,0,1,7
E13,2019-09-01,2019-09-03,m5_p5,escalation,tariff_implementation,core,New tariffs enter into force,0,positive,m5_p5,escalation,tariff_implementation,core,0.0069296590688187,11,25,1,2.0,5,2019,9,1,0,0,1,11
E14,2019-12-13,2019-12-13,m1_p1,relief,agreement,core,Phase One agreement announced,0,positive,m1_p1,relief,agreement,core,0.0045532231387882,3,25,1,0.0,1,2019,12,1,0,0,1,3
E14,2019-12-13,2019-12-13,m3_p3,relief,agreement,core,Phase One agreement announced,0,positive,m3_p3,relief,agreement,core,0.003889976298106,7,25,1,0.0,3,2019,12,1,0,0,1,7
E14,2019-12-13,2019-12-13,m5_p5,relief,agreement,core,Phase One agreement announced,0,positive,m5_p5,relief,agreement,core,0.0041721663490046,11,25,1,0.0,5,2019,12,1,0,0,1,11
E15,2019-12-18,2019-12-18,m1_p1,relief,suspension,core,US suspends planned tariffs,0,neutral,m1_p1,relief,suspension,core,0.0026307238004805,3,25,1,0.0,1,2019,12,1,0,0,1,3
E15,2019-12-18,2019-12-18,m3_p3,relief,suspension,core,US suspends planned tariffs,0,positive,m3_p3,relief,suspension,core,0.0029794367382424,7,25,1,0.0,3,2019,12,1,0,0,1,7
E15,2019-12-18,2019-12-18,m5_p5,relief,suspension,core,US suspends planned tariffs,0,positive,m5_p5,relief,suspension,core,0.0031763542592487,11,25,1,0.0,5,2019,12,1,0,0,1,11
E16,2020-01-15,2020-01-15,m1_p1,relief,agreement,core,Phase One agreement signed,0,positive,m1_p1,relief,agreement,core,0.0050215351993319,3,25,1,0.0,1,2020,1,1,0,0,1,3
E16,2020-01-15,2020-01-15,m3_p3,relief,agreement,core,Phase One agreement signed,0,positive,m3_p3,relief,agreement,core,0.004588852463093,7,25,1,0.0,3,2020,1,1,0,0,1,7
E16,2020-01-15,2020-01-15,m5_p5,relief,agreement,core,Phase One agreement signed,0,positive,m5_p5,relief,agreement,core,0.0039723588028673,11,25,1,0.0,5,2020,1,1,0,0,1,11
E17,2020-02-14,2020-02-14,m1_p1,relief,tariff_reduction,core,US reduces tariffs,1,negative,m1_p1,relief,tariff_reduction,core,0.002463805861584,3,25,1,0.0,1,2020,2,1,0,0,1,3
E17,2020-02-14,2020-02-14,m3_p3,relief,tariff_reduction,core,US reduces tariffs,1,neutral,m3_p3,relief,tariff_reduction,core,0.0038766407206059,7,25,1,0.0,3,2020,2,1,0,0,1,7
E17,2020-02-14,2020-02-14,m5_p5,relief,tariff_reduction,core,US reduces tariffs,1,negative,m5_p5,relief,tariff_reduction,core,0.0113851353527802,11,25,1,0.0,5,2020,2,1,0,0,1,11
E18,2020-02-17,2020-02-18,m1_p1,relief,relief_measure,pandemic,China introduces tariff exemption process,0,neutral,m1_p1,relief,relief_measure,pandemic,0.003852162344028,3,25,1,1.0,1,2020,2,0,1,0,0,3
E18,2020-02-17,2020-02-18,m3_p3,relief,relief_measure,pandemic,China introduces tariff exemption process,1,negative,m3_p3,relief,relief_measure,pandemic,0.0057555203992289,7,25,1,1.0,3,2020,2,0,1,0,0,7
E18,2020-02-17,2020-02-18,m5_p5,relief,relief_measure,pandemic,China introduces tariff exemption process,1,negative,m5_p5,relief,relief_measure,pandemic,0.0140208396536152,11,25,1,1.0,5,2020,2,0,1,0,0,11
E19,2020-07-14,2020-07-14,m1_p1,relief,agricultural_purchase,pandemic,China increases US agricultural imports,0,positive,m1_p1,relief,agricultural_purchase,pandemic,0.0120921879920666,3,25,1,0.0,1,2020,7,0,1,0,0,3
E19,2020-07-14,2020-07-14,m3_p3,relief,agricultural_purchase,pandemic,China increases US agricultural imports,0,neutral,m3_p3,relief,agricultural_purchase,pandemic,0.008829616321369,7,25,1,0.0,3,2020,7,0,1,0,0,7
E19,2020-07-14,2020-07-14,m5_p5,relief,agricultural_purchase,pandemic,China increases US agricultural imports,0,neutral,m5_p5,relief,agricultural_purchase,pandemic,0.0084159348853892,11,25,1,0.0,5,2020,7,0,1,0,0,11
E20,2020-07-22,2020-07-22,m1_p1,relief,exclusion_process,pandemic,US considers tariff exclusions,1,neutral,m1_p1,relief,exclusion_process,pandemic,0.0094774513023394,3,25,1,0.0,1,2020,7,0,1,0,0,3
E20,2020-07-22,2020-07-22,m3_p3,relief,exclusion_process,pandemic,US considers tariff exclusions,0,positive,m3_p3,relief,exclusion_process,pandemic,0.0076512357761015,7,25,1,0.0,3,2020,7,0,1,0,0,7
E20,2020-07-22,2020-07-22,m5_p5,relief,exclusion_process,pandemic,US considers tariff exclusions,0,positive,m5_p5,relief,exclusion_process,pandemic,0.0078509750650037,11,25,1,0.0,5,2020,7,0,1,0,0,11
E21,2020-08-11,2020-08-11,m1_p1,escalation,regulatory_action,pandemic,US changes Hong Kong trade labeling rules,1,neutral,m1_p1,escalation,regulatory_action,pandemic,0.0109839592831652,3,25,1,0.0,1,2020,8,0,1,0,0,3
E21,2020-08-11,2020-08-11,m3_p3,escalation,regulatory_action,pandemic,US changes Hong Kong trade labeling rules,1,negative,m3_p3,escalation,regulatory_action,pandemic,0.0069089300977531,7,25,1,0.0,3,2020,8,0,1,0,0,7
E21,2020-08-11,2020-08-11,m5_p5,escalation,regulatory_action,pandemic,US changes Hong Kong trade labeling rules,1,negative,m5_p5,escalation,regulatory_action,pandemic,0.0055244772549542,11,25,1,0.0,5,2020,8,0,1,0,0,11
E22,2020-08-15,2020-08-17,m1_p1,structural,diplomatic_delay,pandemic,Trade review postponed,1,neutral,m1_p1,structural,diplomatic_delay,pandemic,0.0015597283122101,3,25,1,2.0,1,2020,8,0,1,0,0,3
E22,2020-08-15,2020-08-17,m3_p3,structural,diplomatic_delay,pandemic,Trade review postponed,1,neutral,m3_p3,structural,diplomatic_delay,pandemic,0.0058825666083373,7,25,1,2.0,3,2020,8,0,1,0,0,7
E22,2020-08-15,2020-08-17,m5_p5,structural,diplomatic_delay,pandemic,Trade review postponed,1,negative,m5_p5,structural,diplomatic_delay,pandemic,0.0061187067023253,11,25,1,2.0,5,2020,8,0,1,0,0,11
E23,2020-08-19,2020-08-19,m1_p1,escalation,regulatory_action,pandemic,US suspends tax exemptions,1,negative,m1_p1,escalation,regulatory_action,pandemic,0.0041417631302488,3,25,1,0.0,1,2020,8,0,1,0,0,3
E23,2020-08-19,2020-08-19,m3_p3,escalation,regulatory_action,pandemic,US suspends tax exemptions,0,neutral,m3_p3,escalation,regulatory_action,pandemic,0.0043415499805645,7,25,1,0.0,3,2020,8,0,1,0,0,7
E23,2020-08-19,2020-08-19,m5_p5,escalation,regulatory_action,pandemic,US suspends tax exemptions,0,positive,m5_p5,escalation,regulatory_action,pandemic,0.0055231339309027,11,25,1,0.0,5,2020,8,0,1,0,0,11
E24,2020-08-25,2020-08-25,m1_p1,relief,diplomatic_engagement,pandemic,Trade talks continue,0,positive,m1_p1,relief,diplomatic_engagement,pandemic,0.0037670069794078,3,25,1,0.0,1,2020,8,0,1,0,0,3
E24,2020-08-25,2020-08-25,m3_p3,relief,diplomatic_engagement,pandemic,Trade talks continue,0,positive,m3_p3,relief,diplomatic_engagement,pandemic,0.0034686066863114,7,25,1,0.0,3,2020,8,0,1,0,0,7
E24,2020-08-25,2020-08-25,m5_p5,relief,diplomatic_engagement,pandemic,Trade talks continue,0,positive,m5_p5,relief,diplomatic_engagement,pandemic,0.0046146950578173,11,25,1,0.0,5,2020,8,0,1,0,0,11
